run_id,parent_iteration,prompt_family,prompt_version,input_slice_csv,scored_rows_csv,score_summary_json,prompt_bundle_json,prompt_bundle_txt,pairs_tested,model,config_path,run_manifest,raw_image_mode,stage_a_brightfield_only,stage_b_multi_image,coarse_agreement,beep_fn_rate,beep_fp_rate,review_calibration,note
benchmark_nbc52_tier1_v3_stageA_BF_only_stageB_multi,0,substrate tier1 v3,stageA/B v3,images/Alloy_Class/artifacts/benchmark_pairs_nbc_focus52.csv,benchmark_scored_rows.csv,benchmark_score_summary.json,prompt_bundle.json,prompt_bundle.txt,52,gpt-5.4-mini,images/Alloy_Class/config/stage_ab_prompt_tests_substrate_tier1_v3.json,run_manifest.json,raw-image-mode,true,true,0.4615,0.6875,0.3,0.5,earlier run with Stage A brightfield-only and Stage B multi-image
benchmark_nbc52_tier1_v3_stageA_BF_only_stageB_multi_v2,0,substrate tier1 v3,stageA/B v3,images/Alloy_Class/artifacts/benchmark_pairs_nbc_focus52.csv,benchmark_scored_rows.csv,benchmark_score_summary.json,prompt_bundle.json,prompt_bundle.txt,52,gpt-5.4-mini,images/Alloy_Class/config/stage_ab_prompt_tests_substrate_tier1_v3.json,run_manifest.json,raw-image-mode,true,true,0.5577,0.5938,0.2,0.4231,corrected runner behavior; Stage A suppressed on DF, Stage B still BF+DF
benchmark_nbc52_tier1_v4_stageA_BF_only_stageB_multi_v1,0,substrate tier1 v4,stageA/B v4,images/Alloy_Class/artifacts/benchmark_pairs_nbc_focus52.csv,scoring/benchmark_scored_rows.csv,scoring/benchmark_score_summary.json,prompt_bundle.json,prompt_bundle.txt,52,gpt-5.4-mini,images/Alloy_Class/config/stage_ab_prompt_tests_substrate_tier1_v4.json,run_manifest.json,raw-image-mode,true,true,0.4231,0.5312,0.65,0.4423,v4 hardens evidence language; higher recall, much worse precision
benchmark_nbc52_tier1_v5_stageA_BF_only_stageB_multi_v1,0,substrate tier1 v5,stageA/B v5,images/Alloy_Class/artifacts/benchmark_pairs_nbc_focus52.csv,scoring/benchmark_scored_rows.csv,scoring/benchmark_score_summary.json,prompt_bundle.json,prompt_bundle.txt,52,gpt-5.4-mini,images/Alloy_Class/config/stage_ab_prompt_tests_substrate_tier1_v5.json,run_manifest.json,raw-image-mode,true,true,0.3846,0.875,0.2,0.4423,v5 suppresses sunken-residual false positives but over-prunes BEEP recall
benchmark_nbc52_tier1_v7_stageA_BF_only_stageB_multi_v1,0,substrate tier1 v7,stageA/B v7,images/Alloy_Class/artifacts/benchmark_pairs_nbc_focus52.csv,scoring/benchmark_scored_rows.csv,scoring/benchmark_score_summary.json,prompt_bundle.json,prompt_bundle.txt,52,gpt-5.4-mini,images/Alloy_Class/config/stage_ab_prompt_tests_substrate_tier1_v7.json,run_manifest.json,raw-image-mode,true,true,0.3654,0.9688,0.05,0.3462,v7 resumes after raw-temp interruption; precision best since v3 but recall remains very poor
offset_surface_lines_15_v13_compare,offset_surface_lines_15_v12_compare,substrate tier1 v13 (describe-then-classify),stageB_describe_then_classify_v13 (Call2 drafted from stageB_substrate_tier1_v10/V11),images/Alloy_Class/artifacts/benchmark_offset_surface_lines_yes_15.csv,benchmark_scored_rows.csv,benchmark_score_summary.json,prompt_bundle.json,prompt_bundle.txt,15,claude-sonnet-4-6,images/Alloy_Class/config/stage_ab_prompt_tests_substrate_tier1_v13.json,run_manifest.json,false,false,true,0.9333,0.0,1.0,0.6667,"v13 two-call Stage B (Call 1 free observation, no Stage A context -> Call 2 classify, framework drafted from V11 not V12). vs v12 baseline same 15 pairs: coarse_agreement 0.6667->0.9333, beep_fn_rate 0.3571->0.0 (all known FNs incl. BMK_0018 evidence recovered), beep_fp_rate 0.0->1.0 (single miss is BMK_0008, accepted edge-case particle), review_calibration 0.1333->0.6667."
