LOT,WAFER,WAFER_ID,DEFECT@WAFER@CLASS_EDI@BEEP,DEFECT@WAFER@CLASS_EDI@BLOCKED_HM_ETCH,DEFECT@WAFER@CLASS_EDI@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_EDI@BLURRY_IMAGE,DEFECT@WAFER@CLASS_EDI@BROKEN_PATTERN,DEFECT@WAFER@CLASS_EDI@DENT,DEFECT@WAFER@CLASS_EDI@DOME,DEFECT@WAFER@CLASS_EDI@FALLEN_LINES,DEFECT@WAFER@CLASS_EDI@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_EDI@LARGE_PARTICLE,DEFECT@WAFER@CLASS_EDI@MINI,DEFECT@WAFER@CLASS_EDI@NVD_FALSE,DEFECT@WAFER@CLASS_EDI@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_EDI@PATTERN,DEFECT@WAFER@CLASS_EDI@RESIDUE,DEFECT@WAFER@CLASS_EDI@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_EDI@SCRATCH,DEFECT@WAFER@CLASS_EDI@SIZE_SMALL,DEFECT@WAFER@CLASS_EDI@SMALL_PARTICLE,DEFECT@WAFER@CLASS_EDI@WAFER_TOTAL,ACTUAL_LOT@DEFECT,DEVICE@DEFECT,INSPECTION_TIME@DEFECT,INSPECTION_TOOL@DEFECT,LAYER,LAYER@DEFECT,LOAD_DATE@DEFECT,RECIPE@DEFECT,SITE@DEFECT,WAFER_ID_ORDER@DEFECT,WAFER_KEY@DEFECT
D530592,279,KHX3B279WFF5,0,0,0,0,0,0,0.7644902246,0,0.5924157172,0,0,0,0,0,0,0,0,3.1356512544,0.7103424007,5.2028995969,D5305920,PNCB,10/19/2025 6:07:58 PM,BPD432,8M5CL,8M5CL,02/15/2026 1:55:51 AM,8M5CL,D1D,1,7069138
D530592,298,KHX3B298WFD0,0,0,0,0,0,0,0,0,3.1647230086,0,0,0,0,0,0,6.7933533607,0,0,0,9.9580763693,D5305920,PNCB,10/19/2025 6:07:58 PM,BPD432,8M5CL,8M5CL,02/15/2026 1:53:43 AM,8M5CL,D1D,2,7069243
D530985,2,A11J4002SLB0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1095547174,0,1.0496056649,0,8.1591603823,D5309850,PNCB,10/31/2025 7:50:04 PM,BPD432,8M5CL,8M5CL,02/23/2026 1:12:29 PM,8M5CL,D1D,1,7101541
D530985,5,A11J4005SLG3,0,0,0,0,0,0,0,1.3998004353,0,0,0,0,0,0,0,0,0,7.4878649959,0,8.8876675714,D5309850,PNCB,10/31/2025 7:50:04 PM,BPD432,8M5CL,8M5CL,02/23/2026 2:05:02 PM,8M5CL,D1D,2,7101519
D532248,769,GP7XK769JKB7,0,0,0,0,0,0,0,1.8465627867,0.8498447449,0,0,0,0,0,0,7.153980525,0,4.9636668062,0,13.794397834,D5322480,PNCB,10/30/2025 1:56:09 AM,BPD432,8M5CL,8M5CL,02/14/2026 7:07:12 PM,8M5CL,D1D,1,7141084
D532248,770,GP7XK770JKF0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5878388257,0,1.5878388257,D5322480,PNCB,10/30/2025 1:56:09 AM,BPD432,8M5CL,8M5CL,02/14/2026 7:06:07 PM,8M5CL,D1D,2,7140938
D532249,661,GP7XK661JKF5,0,0,0,0,0,0,0,8.5000825847,0,0,0,0,0,0,0,0,0,0,0,7.4749123227,D5322490,PNCB,10/26/2025 5:13:16 PM,BPD448,8M5CL,8M5CL,02/14/2026 7:06:05 PM,8M5CL,D1D,1,7140895
D532249,662,GP7XK662JKC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1032568518,0,1.1032568518,D5322490,PNCB,10/26/2025 5:13:16 PM,BPD448,8M5CL,8M5CL,02/14/2026 7:04:35 PM,8M5CL,D1D,2,7140838
D530645,52,GP1WY052JKB5,0,0,0,0,0,0,0.2774412873,0,0.6712911373,0,0,0,0,0,0,0,0,9.4190321904,0,10.367764615,D5306450X,PXMG,11/26/2025 11:12:10 AM,BPD454,8M5CL,8M5CL,03/01/2026 2:39:12 AM,8M5CL,D1D,1,7720290
D530645,53,GP1WY053JKF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.30503063,0,11.30503063,D5306450X,PXMG,11/26/2025 11:12:10 AM,BPD454,8M5CL,8M5CL,03/01/2026 3:08:38 AM,8M5CL,D1D,2,7720287
D530645,56,GP1WY056JKD7,0,0,0,0,0,0,0,0.7898175388,0,0,0,0,0,0,0,1.4162557963,0,12.850813005,0,15.056888539,D5306450X,PXMG,11/26/2025 11:12:10 AM,BPD454,8M5CL,8M5CL,02/28/2026 4:52:25 PM,8M5CL,D1D,3,7720221
D530645,57,GP1WY057JKA6,0,0,0,0,0,0,3.0813264409,2.5657407891,1.8821464434,0,0,0,0,0,0,0,0,6.5270411369,0,14.05625481,D5306450X,PXMG,11/26/2025 11:12:10 AM,BPD454,8M5CL,8M5CL,02/15/2026 12:25:59 AM,8M5CL,D1D,4,7720293
D531220,124,KHYJW124WFE5,1.172737317,0,0,0,0,0,2.1137966994,0,6.7047545045,0,0,0,0,0,0,1.7587650981,0,4.1791887954,0,15.906177104,D5312200,PXMG,11/26/2025 5:48:12 AM,BPD448,8M5CL,8M5CL,02/14/2026 8:22:09 PM,8M5CL,D1D,1,7125944
D531220,125,KHYJW125WFB4,0,0,0,0,0,0,3.30267556,4.6867687355,5.661693081,0,0,0,0,0,0,3.5742988231,0,2.2230317193,0,19.184778825,D5312200,PXMG,11/26/2025 5:48:12 AM,BPD448,8M5CL,8M5CL,02/14/2026 8:20:59 PM,8M5CL,D1D,2,7126068
D530645,49,GP1WY049JKE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6595009783,0,3.7628329642,0.3416285496,9.36775103,D5306450,PXMG,11/26/2025 1:16:05 AM,BPD444,8M5CL,8M5CL,03/01/2026 9:45:14 AM,8M5CL,D1D,1,7090115
D530645,51,GP1WY051JKE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7232855624,0,1.592824392,0,3.3161099544,D5306450,PXMG,11/26/2025 1:16:05 AM,BPD444,8M5CL,8M5CL,03/02/2026 2:49:44 PM,8M5CL,D1D,2,7090053
D532278,506,KJ09Y506WFG6,1.186121128,0,0,0,0,0,0.2146302481,0,2.7034124787,0,1.6338653262,0,0,0,0,5.3672033635,0.9263101501,4.9075503741,0,16.939093069,D5322780,PNCB,11/28/2025 6:30:55 PM,BPD458,8M5CL,8M5CL,02/14/2026 6:41:14 PM,8M5CL,D1D,1,7148713
D532278,536,KJ09Y536WFF4,0,0,0,0,0,0,0,0.8603846631,0,0,0,0,0,0,0,1.5427898492,0.9263101501,2.2062756977,0,5.5357603601,D5322780,PNCB,11/28/2025 6:30:55 PM,BPD458,8M5CL,8M5CL,02/14/2026 6:39:56 PM,8M5CL,D1D,2,7148672
D530640,132,GP3CE132JKB6,0,0,0,0,0,0,0,5.0699478557,0,0,0,0,0,0,0,3.3348550498,0,1.7762488144,0.3684159909,10.122192074,D5306400Q,PXMG,11/25/2025 5:27:43 PM,BPD450,8M5CL,8M5CL,02/18/2026 5:18:34 AM,8M5CL,D1D,1,7714973
D530640,133,GP3CE133JKG0,0,0,0,0,0,0,0,4.6934737297,0,0,0,0,0,0,0,0,0,3.6020395716,0,8.2955133013,D5306400Q,PXMG,11/25/2025 5:27:43 PM,BPD450,8M5CL,8M5CL,02/19/2026 3:54:08 AM,8M5CL,D1D,2,7714922
D530640,136,GP3CE136JKE0,0,0,0,0,0,0,0.3218367316,0,0,0,0,0,0,0,0,0,0,1.0961586395,0,1.417995371,D5306400Q,PXMG,11/25/2025 5:27:43 PM,BPD450,8M5CL,8M5CL,02/19/2026 6:58:40 AM,8M5CL,D1D,3,7715017
D530640,137,GP3CE137JKA7,0,0,0,0,0,0,1.311605133,5.0300835179,0,0.8705332218,0,0,0,0,0,6.5799932848,0,2.8520342777,1.3758572594,17.522561515,D5306400Q,PXMG,11/25/2025 5:27:43 PM,BPD450,8M5CL,8M5CL,02/19/2026 7:08:05 AM,8M5CL,D1D,4,7715042
D531199,12,KHYXQ012WFC6,0,0,0,0,0,0,0.1551300461,6.473613177,0,0,0,0,0,1.8931697929,0,14.306533618,0,0,0,21.843849499,D5311990P,PXMG,11/25/2025 6:10:09 PM,BPD458,8M5CL,8M5CL,02/14/2026 9:23:00 PM,8M5CL,D1D,1,7715775
D531199,14,KHYXQ014WFD7,0,0,0,0,0,0,0.6315844079,2.000854091,2.5221635319,0,0,0,0,0,0,6.6303904311,0,25.844526251,0,36.137612306,D5311990P,PXMG,11/25/2025 6:10:09 PM,BPD458,8M5CL,8M5CL,02/14/2026 9:22:10 PM,8M5CL,D1D,2,7715852
D531199,31,KHYXQ031WFA1,0,0,0,0,0,0,0,0,4.3349207276,0,0,0,0,0,0,0,0,17.264423677,0,21.599346624,D5311990P,PXMG,11/25/2025 6:10:09 PM,BPD458,8M5CL,8M5CL,02/14/2026 9:21:39 PM,8M5CL,D1D,3,7715776
D531199,32,KHYXQ032WFE3,0,0,0,0,0,0,0,4.6526060487,0,0,0,0,0,0,0,0,0,3.6346007209,0,8.2872067696,D5311990P,PXMG,11/25/2025 6:10:09 PM,BPD458,8M5CL,8M5CL,02/14/2026 9:20:54 PM,8M5CL,D1D,4,7715856
D530640,130,GP3CE130JKA5,0,0,0,0,0,0,0,0.9320866071,0,0,0,0,0,0,0,0,2.2211885026,3.1861488949,0,6.3394240047,D5306400,PXMG,11/24/2025 7:35:55 AM,BPD448,8M5CL,8M5CL,02/18/2026 6:38:11 AM,8M5CL,D1D,1,7072460
D530640,131,GP3CE131JKE7,0,0,0,0,0,0,0,22.57726847,0,0,1.6614141305,0,0,0,0,1.8088308156,1.5056128745,3.3423907803,0,29.86746086,D5306400,PXMG,11/24/2025 7:35:55 AM,BPD448,8M5CL,8M5CL,02/17/2026 12:41:31 PM,8M5CL,D1D,2,7072488
D531199,8,KHYXQ008WFB5,0,0,0,0,0,0,0.6764328893,1.6040177144,6.0026854289,0,0,0,0,0,0,1.6110507867,1.4596901859,1.1519459895,0,12.505825194,D5311990,PXMG,11/25/2025 4:24:41 AM,BPD446,8M5CL,8M5CL,02/14/2026 9:22:13 PM,8M5CL,D1D,1,7119881
D531199,9,KHYXQ009WFF7,2.2393304907,0,0,0,0,0,0,0,8.0599377021,0,0,0,0,0,0,4.2067248778,0,3.0079265014,0,17.513921791,D5311990,PXMG,11/25/2025 4:24:41 AM,BPD446,8M5CL,8M5CL,02/14/2026 9:19:41 PM,8M5CL,D1D,2,7119739
D532313,152,GQ5EV152JKF0,0,0,0,0,0,0,0,0,2.2356746963,0,0,0,0,0,0,1.2775846348,0,1.3338052291,1.2868894906,6.1339540508,D5323130,PXMG,11/24/2025 9:52:28 PM,BPD432,8M5CL,8M5CL,03/26/2026 2:45:44 AM,8M5CL,D1D,1,7153842
D532313,158,GQ5EV158JKB0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.784705573,0,6.5376717542,0,10.322377327,D5323130,PXMG,11/24/2025 9:52:28 PM,BPD432,8M5CL,8M5CL,03/26/2026 8:14:45 AM,8M5CL,D1D,2,7153779
D532314,8,MCCYL008WAE2,0,0,0,0,0,0,0.5492240083,0.7914053681,0.5839517272,0,0,0,0,0,0,1.7863563817,0,28.480707805,0,31.839492455,D5323140,PXMG,11/29/2025 10:32:54 PM,BPD450,8M5CL,8M5CL,02/14/2026 5:07:18 PM,8M5CL,D1D,1,7155918
D532314,10,MCCYL010WAE2,0.6583245975,0,0,0,0,0,0,1.2313044679,0.7115344738,0,0,0,0,0,0,2.473407055,0,1.9207324868,0.853172369,7.8484754501,D5323140,PXMG,11/29/2025 10:32:54 PM,BPD450,8M5CL,8M5CL,02/14/2026 5:03:52 PM,8M5CL,D1D,2,7155904
D530647,264,GP1WY264JKF4,0,0,2.6247434646,0,0,0,3.9615066306,0,0,0,0,0,0,0,0,0,0,3.5880148639,6.3750643955,16.549327155,D5306470,PXMG,11/30/2025 10:37:08 AM,BPD450,8M5CL,8M5CL,02/15/2026 12:06:23 AM,8M5CL,D1D,1,7089894
D530647,265,GP1WY265JKC3,0,0,0,0,0,0,0.2274750255,0,0,0,0,0,0,0,0,2.0367717738,0,6.3792028936,2.0516061851,10.695055878,D5306470,PXMG,11/30/2025 10:37:08 AM,BPD450,8M5CL,8M5CL,02/15/2026 12:04:52 AM,8M5CL,D1D,2,7089729
D531195,510,GQ0VB510JKB6,0,0,0,0,0,0,0,6.4140189952,8.5505511234,0,0,0,0,0,0,16.148963246,3.0880685451,1.7247279311,0,35.332848939,D5311950,PXMG,11/30/2025 12:49:13 PM,BPD454,8M5CL,8M5CL,02/17/2026 12:53:46 PM,8M5CL,D1D,1,7119850
D531195,511,GQ0VB511JKG0,0,0,1.4918656396,0,0,0,0,1.2481828106,0,0,0,0,0,0,0,0,0,3.1694298867,0,5.9094805557,D5311950,PXMG,11/30/2025 12:49:13 PM,BPD454,8M5CL,8M5CL,02/17/2026 12:53:54 PM,8M5CL,D1D,2,7120022
D530647,266,GP1WY266JKG5,3.6220762222,0,1.4212106155,0,0,0,0.5789881111,1.5528289117,0,0,0,0,0,0,0,2.4514589432,0,2.9619262807,2.7772608497,15.365747735,D5306470J,PXMG,11/30/2025 7:24:26 PM,BPD436,8M5CL,8M5CL,02/16/2026 1:56:16 PM,8M5CL,D1D,1,7739405
D530647,276,GP1WY276JKD6,0,0,0,0,0,0,0,1.9242864095,0,0,0,0,0,0,0,2.7853033592,0,5.3611803864,0,10.070772354,D5306470J,PXMG,11/30/2025 7:24:26 PM,BPD436,8M5CL,8M5CL,02/15/2026 12:05:57 AM,8M5CL,D1D,2,7739389
D530647,279,GP1WY279JKB6,32.201464449,0,2.9019401128,0,0,0,0,0,0,0.5451856938,0,0,0,0,0,38.089012884,0,9.4206987404,19.945061264,82.996130658,D5306470J,PXMG,11/30/2025 7:24:26 PM,BPD436,8M5CL,8M5CL,02/15/2026 12:05:31 AM,8M5CL,D1D,3,7739279
D530647,280,GP1WY280JKE7,0.853812339,0,0,0,0,0,0,1.3345639564,0,0,0,0,0,0,0,9.8360045302,1.0841157677,10.304205258,0.3549062463,23.249331367,D5306470J,PXMG,11/30/2025 7:24:26 PM,BPD436,8M5CL,8M5CL,02/15/2026 12:05:16 AM,8M5CL,D1D,4,7739411
D530647,283,GP1WY283JKC7,13.764285817,0,0,0,0,0,0,2.4902530272,3.8050242842,0,0,0,0,0,0,21.891848111,2.4971821128,1.9453402369,13.569707863,42.228412698,D5306470J,PXMG,11/30/2025 7:24:26 PM,BPD436,8M5CL,8M5CL,02/15/2026 12:04:49 AM,8M5CL,D1D,5,7739356
D530647,284,GP1WY284JKH1,0,0,0,0,0,0,0,1.6153392455,0,0,0,0,0,0,0,2.6253064622,0,0,0,4.2406435085,D5306470J,PXMG,11/30/2025 7:24:26 PM,BPD436,8M5CL,8M5CL,02/18/2026 10:16:18 PM,8M5CL,D1D,6,7739352
D530646,126,GP1WY126JKE2,2.693220254,0,0,0,0,0,0,1.185558709,0,0,0,0,0,0,0,1.7091971129,0.5818360875,13.015577788,2.2831930181,17.75173181,D5306460,PXMG,12/02/2025 12:47:39 PM,BPD436,8M5CL,8M5CL,03/01/2026 12:23:33 AM,8M5CL,D1D,1,7090081
D530646,127,GP1WY127JKB1,0,0,0,0,0,0,0,1.8262345132,0,0,0,0,0,0,0,0,0,2.421075326,0,4.2473098392,D5306460,PXMG,12/02/2025 12:47:39 PM,BPD436,8M5CL,8M5CL,03/01/2026 2:48:24 AM,8M5CL,D1D,2,7089822
D530644,158,GP1WY158JKE1,0.5949961578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8045042594,1.0127250256,7.8156610436,0,11.227886486,D5306440W,PXMG,12/03/2025 1:21:00 AM,BPD454,8M5CL,8M5CL,02/28/2026 10:48:43 AM,8M5CL,D1D,1,7749494
D530644,160,GP1WY160JKE1,0,0,0,0,0,0,0.2950459602,10.861513561,4.5914526273,0,0,0,0,0,0,1.8292035824,1.6573485473,4.1488836871,1.2619262624,24.645374228,D5306440W,PXMG,12/03/2025 1:21:00 AM,BPD454,8M5CL,8M5CL,02/28/2026 5:01:51 AM,8M5CL,D1D,2,7749476
D530644,164,GP1WY164JKG3,0,0,0,0,0,0,0,5.38134274,0,0,0,0,0,0,0,5.8899297534,1.0262391686,4.2353720031,0.8038353008,17.336721165,D5306440W,PXMG,12/03/2025 1:21:00 AM,BPD454,8M5CL,8M5CL,02/28/2026 7:52:09 PM,8M5CL,D1D,3,7749562
D530644,165,GP1WY165JKD2,0,0,0,0,0,0,0,7.74603437,0,0,0,0,0,0,0,9.517464098,0,3.1246981239,0,20.388196592,D5306440W,PXMG,12/03/2025 1:21:00 AM,BPD454,8M5CL,8M5CL,02/28/2026 7:39:11 AM,8M5CL,D1D,4,7749553
D530644,156,GP1WY156JKD0,0,0,0,0,0,0,0,1.6410502049,0,0,0,0,0,0,0,0,1.8033518735,13.19292425,0,16.637326328,D5306440,PXMG,12/02/2025 12:30:38 PM,BPD436,8M5CL,8M5CL,02/28/2026 3:46:00 PM,8M5CL,D1D,1,7089962
D530644,157,GP1WY157JKH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7232855624,0,3.3772647374,0,5.1005502998,D5306440,PXMG,12/02/2025 12:30:38 PM,BPD436,8M5CL,8M5CL,02/28/2026 7:46:21 AM,8M5CL,D1D,2,7089966
D530646,128,GP1WY128JKF3,5.6283931499,0,0,0,0,0,0.4400244548,1.4991330101,0,0,0,0,0,0,0,1.4355252708,0,6.382970554,1.8345982436,17.220644683,D5306460J,PXMG,12/03/2025 12:37:57 AM,BPD450,8M5CL,8M5CL,03/01/2026 3:03:43 AM,8M5CL,D1D,1,7745504
D530646,129,GP1WY129JKC2,20.633015409,0,1.2127563904,0,0,0,0,0,0,0,0,0,0,1.4820100526,0,0,0.8725078892,3.4055535116,9.4220810075,33.640644188,D5306460J,PXMG,12/03/2025 12:37:57 AM,BPD450,8M5CL,8M5CL,03/02/2026 10:42:17 AM,8M5CL,D1D,2,7745438
D530646,173,GP1WY173JKG5,11.065550071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8883334625,0,2.2893428248,7.5577997571,25.801026115,D5306460J,PXMG,12/03/2025 12:37:57 AM,BPD450,8M5CL,8M5CL,02/28/2026 9:58:49 PM,8M5CL,D1D,3,7745436
D530646,174,GP1WY174JKD4,5.5517506953,0,0,0,0,0,0,0,0.7361942111,0,0,0,0,0,0,0,18.378480156,0.9974427181,1.2009905628,26.864853945,D5306460J,PXMG,12/03/2025 12:37:57 AM,BPD450,8M5CL,8M5CL,03/02/2026 12:16:02 PM,8M5CL,D1D,4,7745439
D532323,92,GQ4EF092JKB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.839254768,0,3.839254768,D5323230,PXMG,12/31/2025 10:12:02 PM,BPD432,8M5CL,8M5CL,02/19/2026 6:55:34 PM,8M5CL,D1D,1,7156564
D532323,93,GQ4EF093JKF4,0,0,0,0,0,0,0,1.6878347362,2.1275887233,0,0,0,0,0,0,5.5931122174,18.159558148,3.9503797716,0.9809881274,32.499463943,D5323230,PXMG,12/31/2025 10:12:02 PM,BPD432,8M5CL,8M5CL,03/11/2026 6:52:26 PM,8M5CL,D1D,2,7156528
D530636,486,KHX3E486WFE1,0,0,0,0,0,0,0.5004367425,4.0041449063,0,0,0,0,0,0,0,0,0,6.7100502013,0,11.21463185,D5306360,PXMG,12/11/2025 11:05:58 PM,BPD454,8M5CL,8M5CL,02/15/2026 1:07:41 AM,8M5CL,D1D,1,7069975
D530636,598,KHX3P598WFF5,0.6577835919,0,0,0,0,0,0.2879271187,1.8101694233,0,0,0,0,0,0,0,0,0,17.829962094,0,20.585842228,D5306360,PXMG,12/11/2025 11:05:58 PM,BPD454,8M5CL,8M5CL,02/15/2026 1:04:47 AM,8M5CL,D1D,2,7069837
D531203,336,MCE3Q336WAB4,0,0,0,0,0,0,0.097389798,0,1.5979478959,0,0,0,0,0,0,4.1110484851,0,9.467533559,0.8783687134,16.152290651,D5312030,PXMG,12/12/2025 2:20:55 AM,BPD436,8M5CL,8M5CL,02/21/2026 4:21:37 AM,8M5CL,D1D,1,7123879
D531203,342,MCE3Q342WAD6,0,0,0,0,0,0,0.1983819013,0,0,0,0,0,0,0,0,0,0,2.7896050132,1.0588842359,4.0468689513,D5312030,PXMG,12/12/2025 2:20:55 AM,BPD436,8M5CL,8M5CL,02/27/2026 5:47:27 PM,8M5CL,D1D,2,7123961
D530636,639,KHXLP639WFF3,0,0,0,0,0,0,7.7012826386,10.479522043,3.7121084186,0,0,0,0,0,0,0,0,0,0,21.892910882,D5306360Q,PXMG,12/12/2025 4:51:07 AM,BPD446,8M5CL,8M5CL,02/15/2026 1:08:12 AM,8M5CL,D1D,1,7791860
D530636,647,KHXLP647WFB3,0,0,0,0,0,0,0.4373222618,0,0,0,0,0,0,0,0,0,1.1448300514,3.1084503832,0,4.6906026964,D5306360Q,PXMG,12/12/2025 4:51:07 AM,BPD446,8M5CL,8M5CL,02/15/2026 1:07:45 AM,8M5CL,D1D,2,7791854
