YYMM,LOT,LOT7_prod,ACTUAL_LOT_prod,WAFER_ID_prod,LAYER_prod,WAFER_KEY_prod,INSPECTION_TIME_prod,DEFECT_ID_prod,CLASS_prod,FINEBIN_prod,WAFER_X_MM_prod,WAFER_Y_MM_prod,IMAGE_COUNT_prod,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,SUM_NCDD,STATUS,SRCIP,CCMR2,ICCR2,CV,GF,TS,PILOT_STATUS,BEEP_NCDD,SMP_NCDD,SIZE_X_prod,SIZE_Y_prod,SIZE_D_prod,AREA_prod,MANUAL_OPTICAL_CLASS_prod,INSPECT_TIME_DT,INSPECT_KEY_prod,_KEY,WAFER_KEY_db,INSPECTION_TIME_db,WAFER_ID_db,LOT7_db,ACTUAL_LOT_db,LAYER_db,DEFECT_ID_db,CLASS_db,FINEBIN_db,WAFER_X_MM_db,WAFER_Y_MM_db,IMAGE_COUNT_db,SIZE_X_db,SIZE_Y_db,SIZE_D_db,AREA_db,MANUAL_OPTICAL_CLASS_db,INSPECT_KEY_db,_merge,mismatch_type,LOT_GROUP,WAFER_GROUP,LAYER_GROUP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|314,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,314,NVD_FALSE,NVD_FALSE,-79.243741,-28.484339,4,90,360,360,2595,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|322,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,322,NVD_FALSE,NVD_FALSE,-7.121731,-54.184551,4,180,270,270,3098,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|325,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,325,NVD_FALSE,NVD_FALSE,-88.132266,-63.439921,4,180,180,180,2225,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|326,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,326,NVD_FALSE,NVD_FALSE,127.844131,-64.357716,4,270,270,270,6009,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|327,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,327,UNCLASSIFIED,UNCLASSIFIED,128.044869,-64.315142,0,1170,449,1170,7071,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|332,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,332,NVD_FALSE,NVD_FALSE,57.552443,-65.947991,4,180,180,180,2174,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|333,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,333,NVD_FALSE,NVD_FALSE,7.474421,-67.024425,4,540,360,540,3477,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|334,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,334,UNCLASSIFIED,UNCLASSIFIED,-120.150638,-67.838744,0,270,360,360,2989,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|335,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,335,DOME,DOME,-120.375824,-68.012007,4,540,360,540,2959,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|337,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,337,NVD_FALSE,NVD_FALSE,42.335758,-69.146412,4,90,270,270,2182,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|338,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,338,NVD_FALSE,NVD_FALSE,31.733572,-69.650763,4,270,540,540,3248,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
