PROCESS,FAB,ALIAS,OPERATION,DEFINITION_ID,DEFINITION_NAME,TREATMENT_TYPE,BACKLOAD_START_DATE,VERSION,IS_LATEST,IS_ACTIVE,FIRST_SEEN_RUN_DATE,LAST_SEEN_RUN_DATE,STATUS,RESOLVED_ALIAS,PROCESS_FAMILY
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:HRVA_LEOCB_1278_P3:W_8M5_HM_CLN,,,,Y,Y,2026-09-14,2026-09-14,NEW,W_8M5_HM_CLN,
1278,D1D,W_8M6_HM_CLN,W_8M6_HM_CLN,,EQUIP:HRVA_LEOCB_1278_P3:W_8M6_HM_CLN,,,,Y,Y,2026-09-14,2026-09-14,NEW,W_8M6_HM_CLN,
