relative_path,file_name,module_name,in_inline_pipeline,in_surf_pipeline,pipeline_membership,is_seed_entrypoint,imported_by_count,imports_count,script_exec_targets_count,edge_types,confidence,rationale
utils\compare_surf_coordinates.py,compare_surf_coordinates.py,utils.compare_surf_coordinates,false,false,NEITHER,false,0,0,0,none,Medium,test/debug helper not imported by pipeline entrypoints
utils\csv_backup_daily.py,csv_backup_daily.py,utils.csv_backup_daily,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\debug_join_keys.py,debug_join_keys.py,utils.debug_join_keys,false,false,NEITHER,false,0,0,0,none,High,test/debug helper not imported by pipeline entrypoints
utils\diagnose_join_keys.py,diagnose_join_keys.py,utils.diagnose_join_keys,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\final_verification.py,final_verification.py,utils.final_verification,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\generate_60day.py,generate_60day.py,utils.generate_60day,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\migrate_pipeline_layout.py,migrate_pipeline_layout.py,utils.migrate_pipeline_layout,false,false,NEITHER,false,0,1,0,import,Medium,not import-reachable from documented pipeline entrypoints
utils\phase2b_rolling_audit.py,phase2b_rolling_audit.py,utils.phase2b_rolling_audit,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\readme_update.py,readme_update.py,utils.readme_update,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\reparse_pilot_columns.py,reparse_pilot_columns.py,utils.reparse_pilot_columns,false,false,NEITHER,false,0,2,0,import,Medium,not import-reachable from documented pipeline entrypoints
utils\surf_scan_GTO111_OX.py,surf_scan_GTO111_OX.py,utils.surf_scan_GTO111_OX,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\surf_scan_backfill_event_wafer.py,surf_scan_backfill_event_wafer.py,utils.surf_scan_backfill_event_wafer,false,false,NEITHER,false,0,3,0,import,Medium,not import-reachable from documented pipeline entrypoints
utils\surf_scan_backfill_pm_counters.py,surf_scan_backfill_pm_counters.py,utils.surf_scan_backfill_pm_counters,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\surf_scan_event_wafer_sample.py,surf_scan_event_wafer_sample.py,utils.surf_scan_event_wafer_sample,false,false,NEITHER,false,1,2,0,import,Medium,not import-reachable from documented pipeline entrypoints
utils\surf_scan_extend_backfill.py,surf_scan_extend_backfill.py,utils.surf_scan_extend_backfill,false,false,NEITHER,false,0,3,0,import,Medium,not import-reachable from documented pipeline entrypoints
utils\surf_scan_insp_scope.py,surf_scan_insp_scope.py,utils.surf_scan_insp_scope,false,false,NEITHER,false,0,3,0,import,Medium,not import-reachable from documented pipeline entrypoints
utils\test_fixed_merge.py,test_fixed_merge.py,utils.test_fixed_merge,false,false,NEITHER,false,0,0,0,none,High,test/debug helper not imported by pipeline entrypoints
utils\test_merge_logic.py,test_merge_logic.py,utils.test_merge_logic,false,false,NEITHER,false,0,0,0,none,High,test/debug helper not imported by pipeline entrypoints
utils\test_nulls.py,test_nulls.py,utils.test_nulls,false,false,NEITHER,false,0,2,0,import,High,test/debug helper not imported by pipeline entrypoints
utils\update_surf_ts_ame421_pm1.py,update_surf_ts_ame421_pm1.py,utils.update_surf_ts_ame421_pm1,false,false,NEITHER,false,0,2,0,import,Medium,not import-reachable from documented pipeline entrypoints
utils\validator.py,validator.py,utils.validator,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
utils\verify_fix.py,verify_fix.py,utils.verify_fix,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
