YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2604,D5512330,D551233,D5512330,5DXAB645MVB2,8M6CL,7814288,2026/04/05 9:27:39 PM,308,SMALL_PARTICLE,SMALL_PARTICLE,-25.947136,-0.700545,4,AME401_PM2,P_78_GABON_R1,2026/04/05 7:40:03 PM,2026/04/05 9:27:39 PM,BPD444,ICCR2+CV+GF,0.018046,BSL,0.003609,0.014437,176,ICCR2,1
2602,D5424590,D542459,D5424590,GT1WK326JKF5,8M5CL,7490216,2026/02/08 3:09:01 PM,35,SMALL_PARTICLE,SMALL_PARTICLE,14.89067,-2.991441,5,AME421_PM4,P_78_GABON_B10_R3,2026/02/08 2:01:46 PM,2026/02/08 3:09:01 PM,BPD450,ICCR2+CV,0.010978,BSL,0,0.010978,1751,ICCR2,1
2604,D5485340U,D548534,D5485340U,KJ6GQ237WFD5,8M6CL,8324565,2026/04/03 6:20:29 AM,7,SMALL_PARTICLE,SMALL_PARTICLE,-5.892584,-8.35663,4,AME403_PM4,P_78_GABON_R1,2026/04/03 5:11:54 AM,2026/04/03 6:20:29 AM,BPD436,ICCR2+CV,0.003584,BSL,0,0.003584,267,ICCR2,1
2603,D5451800,D545180,D5451800,KJ51H020WFD1,8M6CL,7591359,2026/03/24 9:21:58 AM,3,SMALL_PARTICLE,SMALL_PARTICLE,-1.689408,1.740495,4,AME409_PM3,P_78_GABON_R1,2026/03/24 3:34:54 AM,2026/03/24 9:21:58 AM,BPD432,ICCR2+CV+GF,0.003553,BSL,0,0.003553,503,ICCR2,1
2602,D5451920,D545192,D5451920,GS6CV567JKB4,8M6CL,7594221,2026/02/21 8:29:29 AM,4,SMALL_PARTICLE,SMALL_PARTICLE,-0.969093,-8.250558,4,AME417_PM5,P_78_GABON_R1,2026/02/21 6:25:09 AM,2026/02/21 8:29:29 AM,BPD432,ICCR2+CV+GF,0.003584,BSL,0,0.003584,1130,ICCR2,1
2602,D5435340,D543534,D5435340,KJ41L010WFF5,8M6CL,7524238,2026/02/06 11:37:12 PM,22,SMALL_PARTICLE,SMALL_PARTICLE,1.53804,13.043067,4,AME419_PM6,P_78_GABON_R1,2026/02/06 9:10:45 PM,2026/02/06 11:37:12 PM,BPD450,ICCR2+CV+GF,0.010658,BSL,0,0.010658,1789,ICCR2,1
2512,D5312030,D531203,D5312030,MCE3Q342WAD6,8M5CL,7123961,2025/12/12 2:20:55 AM,700,SMALL_PARTICLE,SMALL_PARTICLE,-2.896949,17.488003,5,AME417_PM6,P_78_GABON_B10_R3,2025/12/12 12:52:09 AM,2025/12/12 2:20:55 AM,BPD436,ICCR2+CV+GF,0.007516,BSL,0,0.007516,2828,ICCR2,1
2603,D5413180,D541318,D5413180,KJ30U367WFC1,8M6CL,7443513,2026/03/16 1:35:17 PM,34,SMALL_PARTICLE,SMALL_PARTICLE,14.642904,-20.598897,4,AME403_PM6,P_78_GABON_R1,2026/03/16 10:17:44 AM,2026/03/16 1:35:17 PM,BPD444,ICCR2+CV,0.003584,BSL,0,0.003584,641,ICCR2,1
2512,D5189210,D518921,D5189210,GJ4MA662JKC7,8M5CL,6655406,2025/12/13 4:00:22 AM,71,SMALL_PARTICLE,SMALL_PARTICLE,-1.413115,26.914813,5,AME409_PM6,P_78_GABON_B10_R3,2025/12/13 3:02:42 AM,2025/12/13 4:00:22 AM,BPD436,ICCR2+CV,0.003584,BSL,0,0.003584,2804,ICCR2,1
2604,D6021040,D602104,D6021040,KJ7KK004WFF4,8M6CL,7907507,2026/04/15 12:38:04 AM,17,SMALL_PARTICLE,SMALL_PARTICLE,7.014024,14.124682,4,AME423_PM3,P_78_GABON_R1,2026/04/14 9:56:21 PM,2026/04/15 12:38:04 AM,BPD454,ICCR2+CV+GF,0.010658,BSL,0,0.010658,1480,ICCR2,1
