PERIOD_START,PERIOD_END,DEVICE,LAYER,PERIOD_DAYS,SAMPLE_SIZE,FIRST_WAFER_TIME,LAST_WAFER_TIME,ZERO_BEEP_DEFECT_RATE,ZERO_SMP_DEFECT_RATE,ZERO_BEEP_LOT_DEFECT_RATE,ZERO_SMP_LOT_DEFECT_RATE,CCMR2_ON_RATE,ICCR2_ON_RATE,GF_ON_RATE,CV_ON_RATE,SRCIP_ON_RATE,P_ORDER_BEEP_CLEAN_AVG,P_ORDER_BEEP_DEFECTIVE_AVG,P_ORDER_BEEP_CLEAN_COUNT,P_ORDER_BEEP_DEFECTIVE_COUNT,P_ORDER_SMP_CLEAN_AVG,P_ORDER_SMP_DEFECTIVE_AVG,P_ORDER_SMP_CLEAN_COUNT,P_ORDER_SMP_DEFECTIVE_COUNT,UNW_12HRS_BEEP_CLEAN_AVG,UNW_12HRS_BEEP_DEFECTIVE_AVG,UNW_12HRS_BEEP_CLEAN_COUNT,UNW_12HRS_BEEP_DEFECTIVE_COUNT,UNW_12HRS_SMP_CLEAN_AVG,UNW_12HRS_SMP_DEFECTIVE_AVG,UNW_12HRS_SMP_CLEAN_COUNT,UNW_12HRS_SMP_DEFECTIVE_COUNT,S_SCAN_TOTAL,S_SCAN_AVG,N_SCAN_TOTAL,N_SCAN_AVG
2025-05-25,2025-05-29,PNCB,8M5CL,5,14,2025-05-27 09:31:29,2025-05-28 20:07:59,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.7857142857142857,0.0,1.0,0.0,0.0,0.0,5.384615384615385,6.0,13,1,5.166666666666667,7.0,12,2,52.47722047476923,60.601933086,13,1,53.4004832715,51.0,12,2,130,9.285714285714286,130,9.285714285714286
2025-06-04,2025-06-08,PNCB,8M5CL,5,38,2025-06-04 03:48:22,2025-06-08 07:30:28,0.0,0.18421052631578946,0.0,0.7894736842105263,0.47368421052631576,1.0,0.15789473684210525,0.631578947368421,0.0,10.394736842105264,,38,0,10.193548387096774,11.285714285714286,31,7,60.974238966526315,,38,0,60.632525267483864,62.487542490857145,31,7,220,5.7894736842105265,292,7.684210526315789
2025-06-09,2025-06-13,PNCB,8M5CL,5,75,2025-06-10 04:09:51,2025-06-13 14:20:43,0.06666666666666667,0.30666666666666664,0.38666666666666666,0.6533333333333333,0.18666666666666668,1.0,0.0,0.4,0.0,6.928571428571429,5.2,70,5,6.173076923076923,8.26086956521739,52,23,74.17177659765714,68.36143759199999,70,5,79.324815852,61.25830980399999,52,23,561,7.48,561,7.48
2025-06-14,2025-06-18,PNCB,8M5CL,5,23,2025-06-17 22:54:27,2025-06-18 22:32:08,0.043478260869565216,0.0,0.5652173913043478,0.5652173913043478,0.43478260869565216,1.0,0.0,0.43478260869565216,0.0,10.181818181818182,21.0,22,1,10.652173913043478,,23,0,76.27272727272727,119.0,22,1,78.1304347826087,,23,0,412,17.91304347826087,412,17.91304347826087
2025-06-19,2025-06-23,PNCB,8M5CL,5,19,2025-06-19 00:48:53,2025-06-21 07:24:42,0.0,0.42105263157894735,0.5789473684210527,0.8947368421052632,0.0,1.0,0.3157894736842105,0.3157894736842105,0.0,10.0,,19,0,8.909090909090908,11.5,11,8,92.70335530178947,,19,0,101.788687438,80.2110236145,11,8,304,16.0,304,16.0
2025-06-24,2025-06-28,PNCB,8M5CL,5,26,2025-06-24 10:22:45,2025-06-28 07:12:15,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.11538461538461539,0.0,1.0,1.0,1.0,0.0,4.208333333333333,3.0,24,2,4.291666666666667,2.0,24,2,46.5,46.5,24,2,49.708333333333336,8.0,24,2,102,3.923076923076923,188,7.230769230769231
2025-06-29,2025-07-03,PNCB,8M5CL,5,3,2025-07-01 01:07:19,2025-07-02 21:21:35,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.0,1.5,1.0,2,1,1.3333333333333333,,3,0,11.5,0.0,2,1,7.666666666666667,,3,0,3,1.0,5,1.6666666666666667
2025-07-04,2025-07-08,PNCB,8M5CL,5,94,2025-07-04 01:20:09,2025-07-08 22:36:25,0.05319148936170213,0.22340425531914893,0.425531914893617,0.8723404255319149,0.1595744680851064,1.0,0.8404255319148937,1.0,0.0,5.325842696629214,6.8,89,5,5.383561643835616,5.476190476190476,73,21,58.24466345961798,39.8,89,5,61.282416818424664,43.29326762671429,73,21,896,9.53191489361702,1668,17.74468085106383
2025-07-09,2025-07-13,PNCB,8M5CL,5,51,2025-07-09 08:03:08,2025-07-12 19:54:59,0.09803921568627451,0.11764705882352941,0.43137254901960786,0.6862745098039216,0.0,1.0,0.8823529411764706,0.8823529411764706,0.0,5.760869565217392,4.4,46,5,5.622222222222222,5.666666666666667,45,6,33.65217391304348,15.2,46,5,32.15555555555556,29.5,45,6,409,8.019607843137255,497,9.745098039215685
2025-07-14,2025-07-18,PNCB,8M5CL,5,44,2025-07-15 10:15:01,2025-07-18 20:42:34,0.06818181818181818,0.2727272727272727,0.2727272727272727,0.9090909090909091,0.0,1.0,0.9545454545454546,0.9545454545454546,0.0,6.902439024390244,6.666666666666667,41,3,5.84375,9.666666666666666,32,12,60.932117030829275,37.0,41,3,55.144630803875,70.38238437833333,32,12,376,8.545454545454545,376,8.545454545454545
