PROCESS,FAB,ALIAS,OPERATION,DEFINITION_ID,DEFINITION_NAME,TREATMENT_TYPE,BACKLOAD_START_DATE,VERSION,IS_LATEST,IS_ACTIVE,FIRST_SEEN_RUN_DATE,LAST_SEEN_RUN_DATE,STATUS,RESOLVED_ALIAS,PROCESS_FAMILY
1278,D1D,L_8M5_CHM_DEP,L_8M5_CHM_DEP,,EQUIP:BARC_TBF_LPCLEAN:L_8M5_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_CHM_DEP,
1278,D1D,L_8M5_CHM_DEP,L_8M5_CHM_DEP,,EQUIP:PLUTO_ESD_FORK:L_8M5_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_CHM_DEP,
1278,D1D,L_8M5_CHM_DEP,L_8M5_CHM_DEP,,PROCESS:6001_V5_12_G:L_8M5_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_CHM_DEP,
1278,D1D,L_8M5_CHM_DEP,L_8M5_CHM_DEP,,PROCESS:CHOZO:L_8M5_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_CHM_DEP,
1278,D1D,L_8M5_SED,L_8M5_SED,,EQUIP:2805_CIPVII:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,EQUIP:2805_XPR4_NPT3:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,EQUIP:N58_XPR5:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,EQUIP:PLUTO_ESD_FORK:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,EQUIP:PROV_STREAKTS:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,PROCESS:2805_6Q6:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,PROCESS:2805_AJ:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,PROCESS:2805_AK:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SED,L_8M5_SED,,PROCESS:CHOZO:L_8M5_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SED,
1278,D1D,L_8M5_SIARC_DEP,L_8M5_SIARC_DEP,,EQUIP:1278_AR189_1000_HVM_BATCH:L_8M5_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SIARC_DEP,
1278,D1D,L_8M5_SIARC_DEP,L_8M5_SIARC_DEP,,EQUIP:9110D_317:L_8M5_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SIARC_DEP,
1278,D1D,L_8M5_SIARC_DEP,L_8M5_SIARC_DEP,,EQUIP:BARC_TBF_CIPAMC_9825_280:L_8M5_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SIARC_DEP,
1278,D1D,L_8M5_SIARC_DEP,L_8M5_SIARC_DEP,,EQUIP:BARC_TBF_LPCLEAN:L_8M5_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SIARC_DEP,
1278,D1D,L_8M5_SIARC_DEP,L_8M5_SIARC_DEP,,EQUIP:PLUTO_ESD_FORK:L_8M5_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SIARC_DEP,
1278,D1D,L_8M5_SIARC_DEP,L_8M5_SIARC_DEP,,PROCESS:6001_V5_12_G:L_8M5_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SIARC_DEP,
1278,D1D,L_8M5_SIARC_DEP,L_8M5_SIARC_DEP,,PROCESS:CHOZO:L_8M5_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M5_SIARC_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,EQUIP:1278_AR189_1000_HVM_BATCH:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,EQUIP:9110D_310:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,EQUIP:BARC_TBF_CIPAMC_8102_1100:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,EQUIP:BARC_TBF_CIPAMC_9110D_1000:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,EQUIP:BARC_TBF_LPCLEAN:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,EQUIP:PLUTO_ESD_FORK:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,PROCESS:6001_V5_12_G:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_CHM_DEP,L_8M6_CHM_DEP,,PROCESS:CHOZO:L_8M6_CHM_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_CHM_DEP,
1278,D1D,L_8M6_SED,L_8M6_SED,,EQUIP:2805_CIPVII:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,EQUIP:2805_XPR4_NPT3:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,EQUIP:N58_XPR5:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,EQUIP:PLUTO_ESD_FORK:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,EQUIP:PROV_STREAKTS:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,PROCESS:2805_6Q6:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,PROCESS:2805_AJ:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,PROCESS:2805_AK:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SED,L_8M6_SED,,PROCESS:CHOZO:L_8M6_SED,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SED,
1278,D1D,L_8M6_SIARC_DEP,L_8M6_SIARC_DEP,,EQUIP:1278_AR189_1000_HVM_BATCH:L_8M6_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SIARC_DEP,
1278,D1D,L_8M6_SIARC_DEP,L_8M6_SIARC_DEP,,EQUIP:9110D_317:L_8M6_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SIARC_DEP,
1278,D1D,L_8M6_SIARC_DEP,L_8M6_SIARC_DEP,,EQUIP:BARC_TBF_CIPAMC_9825_280:L_8M6_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SIARC_DEP,
1278,D1D,L_8M6_SIARC_DEP,L_8M6_SIARC_DEP,,EQUIP:BARC_TBF_LPCLEAN:L_8M6_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SIARC_DEP,
1278,D1D,L_8M6_SIARC_DEP,L_8M6_SIARC_DEP,,EQUIP:PLUTO_ESD_FORK:L_8M6_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SIARC_DEP,
1278,D1D,L_8M6_SIARC_DEP,L_8M6_SIARC_DEP,,PROCESS:6001_V5_12_G:L_8M6_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SIARC_DEP,
1278,D1D,L_8M6_SIARC_DEP,L_8M6_SIARC_DEP,,PROCESS:CHOZO:L_8M6_SIARC_DEP,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,L_8M6_SIARC_DEP,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:HRVA3_LEOCB:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:HRVA_LEOCB_1278:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:HRVA_LEOCB_1278_P2:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:KOH_TNPPFREE_DRUM:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:LEOCB:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:LEOCB_CHEMLOCK:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:LEOCB_PULSE_FFPM:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:LEOCB_TNPP_FREE_NH4OH:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:LEOCB_TRC_NDTD_ER_PILOT:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
1278,D1D,W_8M5_HM_CLN,W_8M5_HM_CLN,,EQUIP:MFG_L4_PWP_LEO_CHUCKS_REFURB_QUAL_LEOCB:W_8M5_HM_CLN,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,W_8M5_HM_CLN,
