Completeness Log — AME409_PM6
Generated : 2026-07-09 20:30:38
────────────────────────────────────────────────────────────────
Inventory : 104 files scanned, 104 parsed, 0 skipped
LOTs in library : 12

Coord rows (chamber)        : 177
Coord rows with IMAGE_COUNT>0: 177
Missing from image library  : 119

LOT7         DEFECT     CNT   LAYER    WAFER_KEY      INSPECTION_TIME
D603180      1009       5     8M5CL    7938417        2026-04-19 22:28:45
D603152      82         4     8M6CL    7945085        2026-04-30 15:23:49
D603152      16         4     8M6CL    7945010        2026-04-30 15:23:49
D603152      64         4     8M6CL    7945050        2026-04-30 15:23:49
D603152      78         4     8M6CL    7945050        2026-04-30 15:23:49
D603152      41         4     8M6CL    7945085        2026-04-30 15:23:49
D603152      69         4     8M6CL    7945085        2026-04-30 15:23:49
D603152      5          4     8M6CL    7945050        2026-04-30 15:23:49
D552347      1927       5     8M5CL    8572405        2026-05-07 18:17:47
D552347      116898     5     8M5CL    8572373        2026-05-07 18:17:47
D604232      37         4     8M6CL    7975390        2026-05-08 23:06:58
D604232      39         4     8M6CL    7975390        2026-05-08 23:06:58
D604238      964        5     8M5CL    8572571        2026-05-07 12:36:40
D604238      973        5     8M5CL    8572571        2026-05-07 12:36:40
D604238      1087       5     8M5CL    8572571        2026-05-07 12:36:40
D604238      1107       5     8M5CL    8572571        2026-05-07 12:36:40
D552347      1511       5     8M5CL    8572405        2026-05-07 18:17:47
D604238      976        5     8M5CL    8572571        2026-05-07 12:36:40
D552347      460        5     8M5CL    8572405        2026-05-07 18:17:47
D552347      221        5     8M5CL    8573851        2026-05-07 18:17:47
D552347      467        5     8M5CL    8573851        2026-05-07 18:17:47
D552347      96         5     8M5CL    8573929        2026-05-07 18:17:47
D552347      2242       5     8M5CL    8573929        2026-05-07 18:17:47
D604232      8          4     8M6CL    7975390        2026-05-08 23:06:58
