Completeness Log — AME421_PM3
Generated : 2026-07-09 21:43:05
────────────────────────────────────────────────────────────────
Inventory : 92 files scanned, 92 parsed, 0 skipped
LOTs in library : 10

Coord rows (chamber)        : 100
Coord rows with IMAGE_COUNT>0: 100
Missing from image library  : 55

LOT7         DEFECT     CNT   LAYER    WAFER_KEY      INSPECTION_TIME
─────────────────────────────────────────────────────────────────────
D534488      103        4     8M6CL    7216677        2025-12-24 05:08:48
D542449      69         4     8M6CL    7479655        2025-12-26 12:57:38
D542449      25         4     8M6CL    7479655        2025-12-26 12:57:38
D542449      28         4     8M6CL    7479655        2025-12-26 12:57:38
D527303      648        4     8M6CL    6961796        2025-12-31 03:46:25
D538022      47         4     8M6CL    7335058        2026-01-01 06:22:54
D538022      31         4     8M6CL    7335192        2026-01-01 06:22:54
D538022      32         4     8M6CL    7335223        2026-01-01 06:22:54
D538022      52         4     8M6CL    7335058        2026-01-01 06:22:54
D538022      26         4     8M6CL    7335058        2026-01-01 06:22:54
D538022      3          4     8M6CL    7335049        2026-01-01 06:22:54
D538022      4          4     8M6CL    7335192        2026-01-01 06:22:54
D538022      32         4     8M6CL    7335192        2026-01-01 06:22:54
D538022      22         4     8M6CL    7335192        2026-01-01 06:22:54
D534490      8089       5     8M5CL    7217152        2026-01-24 10:37:32
D540212      127        4     8M6CL    7411977        2026-01-24 22:59:47
D540212      27         4     8M6CL    7411977        2026-01-24 22:59:47
D540212      21         4     8M6CL    7411977        2026-01-24 22:59:47
D540212      12         4     8M6CL    7411977        2026-01-24 22:59:47
D540212      15         4     8M6CL    7411977        2026-01-24 22:59:47
D540212      137        4     8M6CL    7411977        2026-01-24 22:59:47
D540212      19         4     8M6CL    7411977        2026-01-24 22:59:47
D540212      18         4     8M6CL    7411977        2026-01-24 22:59:47
D531175      266        5     8M5CL    7116686        2026-02-02 14:04:54
D531175      517        5     8M5CL    7116921        2026-02-02 14:04:54
D531175      455        5     8M5CL    7116921        2026-02-02 14:04:54
D531175      535        5     8M5CL    7116921        2026-02-02 14:04:54
D531175      593        5     8M5CL    7116921        2026-02-02 14:04:54
D531175      522        5     8M5CL    7116921        2026-02-02 14:04:54
D531175      346        5     8M5CL    7116921        2026-02-02 14:04:54
D542458      844        4     8M6CL    7489982        2026-02-03 03:18:34
D542459      298        5     8M5CL    7490172        2026-02-08 15:09:01
D542459      436        5     8M5CL    7490172        2026-02-08 15:09:01
D542459      100        5     8M5CL    7490172        2026-02-08 15:09:01
D545190      3178       4     8M6CL    7594038        2026-02-10 23:15:01
D545190      3161       4     8M6CL    7594038        2026-02-10 23:15:01
D545190      58         4     8M6CL    7593896        2026-02-10 23:15:01
D545190      25         4     8M6CL    7593896        2026-02-10 23:15:01
D545190      3166       4     8M6CL    7594038        2026-02-10 23:15:01
D545190      38         4     8M6CL    7593896        2026-02-10 23:15:01
D545190      3150       4     8M6CL    7594038        2026-02-10 23:15:01
D545190      3154       4     8M6CL    7594038        2026-02-10 23:15:01
D550156      6          4     8M6CL    7768854        2026-03-10 07:01:08
D550156      55         4     8M6CL    7768854        2026-03-10 07:01:08
D550156      54         4     8M6CL    7768854        2026-03-10 07:01:08
D550156      15         4     8M6CL    7768854        2026-03-10 07:01:08
D550156      30         4     8M6CL    7768854        2026-03-10 07:01:08
D541E80      5464       6     8M6CL    7477847        2026-03-22 13:17:09
D541E80      5802       6     8M6CL    7477847        2026-03-22 13:17:09
D541E80      113818     6     8M6CL    7477827        2026-03-22 13:17:09
D541E80      114088     6     8M6CL    7477827        2026-03-22 13:17:09
D601543      20         4     8M6CL    7869452        2026-04-08 17:08:42
D552330      19133      4     8M6CL    7837240        2026-04-09 09:58:03
D552337      2453       5     8M5CL    7849243        2026-04-09 20:59:16
D552336      529        4     8M6CL    7846850        2026-04-09 23:35:14
